"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 15 12:05:14 GMT 2021","Mon Feb 15 12:05:14 GMT 2021","0","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"passed","Mon Feb 15 12:04:44 GMT 2021","Mon Feb 15 12:04:51 GMT 2021","7056","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Mon Feb 15 12:04:51 GMT 2021","Mon Feb 15 12:05:01 GMT 2021","9600","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"passed","Mon Feb 15 12:05:06 GMT 2021","Mon Feb 15 12:05:13 GMT 2021","7391","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
"passed","Mon Feb 15 12:04:00 GMT 2021","Mon Feb 15 12:04:10 GMT 2021","9369","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Mon Feb 15 12:03:43 GMT 2021","Mon Feb 15 12:03:50 GMT 2021","7234","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
"failed","Mon Feb 15 12:04:10 GMT 2021","Mon Feb 15 12:04:44 GMT 2021","34120","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"passed","Mon Feb 15 12:05:01 GMT 2021","Mon Feb 15 12:05:06 GMT 2021","5366","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"passed","Mon Feb 15 12:03:50 GMT 2021","Mon Feb 15 12:04:00 GMT 2021","10358","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
