"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 22 12:21:24 GMT 2021","Mon Feb 22 12:21:51 GMT 2021","27590","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
"passed","Mon Feb 22 12:22:19 GMT 2021","Mon Feb 22 12:22:28 GMT 2021","9244","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"passed","Mon Feb 22 12:22:06 GMT 2021","Mon Feb 22 12:22:12 GMT 2021","6245","","Карты","","Карты","Пользователь может разблокировать карту","Пользователь может разблокировать карту",""
"passed","Mon Feb 22 12:21:17 GMT 2021","Mon Feb 22 12:21:24 GMT 2021","6903","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
"passed","Mon Feb 22 12:22:12 GMT 2021","Mon Feb 22 12:22:19 GMT 2021","7141","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Mon Feb 22 12:21:51 GMT 2021","Mon Feb 22 12:21:59 GMT 2021","7900","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Mon Feb 22 12:22:41 GMT 2021","Mon Feb 22 12:22:48 GMT 2021","7178","","Кредиты","","Кредиты","Пользователь может получить кредит","Пользователь может получить кредит",""
"skipped","Mon Feb 22 12:22:48 GMT 2021","Mon Feb 22 12:22:48 GMT 2021","0","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"passed","Mon Feb 22 12:22:28 GMT 2021","Mon Feb 22 12:22:34 GMT 2021","5114","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"passed","Mon Feb 22 12:21:59 GMT 2021","Mon Feb 22 12:22:06 GMT 2021","6855","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"passed","Mon Feb 22 12:22:34 GMT 2021","Mon Feb 22 12:22:41 GMT 2021","6915","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
