"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 18 10:07:50 GMT 2021","Thu Feb 18 10:07:55 GMT 2021","4906","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Thu Feb 18 10:07:55 GMT 2021","Thu Feb 18 10:08:02 GMT 2021","7464","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"passed","Thu Feb 18 10:08:02 GMT 2021","Thu Feb 18 10:08:07 GMT 2021","4984","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"skipped","Thu Feb 18 10:08:13 GMT 2021","Thu Feb 18 10:08:13 GMT 2021","0","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"passed","Thu Feb 18 10:07:08 GMT 2021","Thu Feb 18 10:07:14 GMT 2021","5814","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
"passed","Thu Feb 18 10:07:44 GMT 2021","Thu Feb 18 10:07:50 GMT 2021","5696","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"passed","Thu Feb 18 10:08:07 GMT 2021","Thu Feb 18 10:08:12 GMT 2021","5035","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
"passed","Thu Feb 18 10:07:38 GMT 2021","Thu Feb 18 10:07:44 GMT 2021","6748","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Thu Feb 18 10:07:14 GMT 2021","Thu Feb 18 10:07:38 GMT 2021","23400","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
