"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 26 10:56:43 GMT 2021","Fri Feb 26 10:56:50 GMT 2021","7473","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
"passed","Fri Feb 26 10:56:02 GMT 2021","Fri Feb 26 10:56:11 GMT 2021","8352","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"passed","Fri Feb 26 10:55:52 GMT 2021","Fri Feb 26 10:56:02 GMT 2021","10388","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Fri Feb 26 10:56:18 GMT 2021","Fri Feb 26 10:56:26 GMT 2021","7278","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Fri Feb 26 10:55:40 GMT 2021","Fri Feb 26 10:55:52 GMT 2021","12459","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
"passed","Fri Feb 26 10:57:00 GMT 2021","Fri Feb 26 10:57:09 GMT 2021","8968","","Кредиты","","Кредиты","Пользователь может получить кредит","Пользователь может получить кредит",""
"passed","Fri Feb 26 10:56:11 GMT 2021","Fri Feb 26 10:56:18 GMT 2021","7395","","Карты","","Карты","Пользователь может разблокировать карту","Пользователь может разблокировать карту",""
"passed","Fri Feb 26 10:57:10 GMT 2021","Fri Feb 26 10:57:15 GMT 2021","5468","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"passed","Fri Feb 26 10:56:26 GMT 2021","Fri Feb 26 10:56:36 GMT 2021","10365","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"passed","Fri Feb 26 10:56:36 GMT 2021","Fri Feb 26 10:56:43 GMT 2021","6565","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"passed","Fri Feb 26 10:56:50 GMT 2021","Fri Feb 26 10:57:00 GMT 2021","9807","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
