"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 27 09:59:27 GMT 2021","Sat Feb 27 09:59:35 GMT 2021","8566","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
"passed","Sat Feb 27 09:59:42 GMT 2021","Sat Feb 27 09:59:51 GMT 2021","8791","","Кредиты","","Кредиты","Пользователь может получить кредит","Пользователь может получить кредит",""
"passed","Sat Feb 27 09:59:51 GMT 2021","Sat Feb 27 10:00:01 GMT 2021","9815","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
"passed","Sat Feb 27 09:58:42 GMT 2021","Sat Feb 27 09:58:51 GMT 2021","9049","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"passed","Sat Feb 27 09:59:00 GMT 2021","Sat Feb 27 09:59:08 GMT 2021","7906","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Sat Feb 27 09:58:11 GMT 2021","Sat Feb 27 09:58:31 GMT 2021","19479","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
"passed","Sat Feb 27 09:59:08 GMT 2021","Sat Feb 27 09:59:19 GMT 2021","11534","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"passed","Sat Feb 27 09:58:51 GMT 2021","Sat Feb 27 09:58:59 GMT 2021","8396","","Карты","","Карты","Пользователь может разблокировать карту","Пользователь может разблокировать карту",""
"passed","Sat Feb 27 09:59:36 GMT 2021","Sat Feb 27 09:59:42 GMT 2021","5972","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"passed","Sat Feb 27 09:58:31 GMT 2021","Sat Feb 27 09:58:42 GMT 2021","11084","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Sat Feb 27 09:59:20 GMT 2021","Sat Feb 27 09:59:27 GMT 2021","7167","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
