"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","5","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","4","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","2","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","6","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","2","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","1","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","2","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"skipped","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","0","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"failed","Mon Feb 15 11:51:38 GMT 2021","Mon Feb 15 11:51:38 GMT 2021","1","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
