"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 18 19:04:49 GMT 2021","Thu Feb 18 19:04:54 GMT 2021","4962","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Thu Feb 18 19:04:44 GMT 2021","Thu Feb 18 19:04:49 GMT 2021","5405","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"passed","Thu Feb 18 19:04:07 GMT 2021","Thu Feb 18 19:04:13 GMT 2021","6357","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
"passed","Thu Feb 18 19:04:37 GMT 2021","Thu Feb 18 19:04:44 GMT 2021","6550","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Thu Feb 18 19:04:13 GMT 2021","Thu Feb 18 19:04:37 GMT 2021","24155","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
"skipped","Thu Feb 18 19:05:41 GMT 2021","Thu Feb 18 19:05:41 GMT 2021","1","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"passed","Thu Feb 18 19:05:02 GMT 2021","Thu Feb 18 19:05:08 GMT 2021","5949","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"passed","Thu Feb 18 19:04:54 GMT 2021","Thu Feb 18 19:05:02 GMT 2021","7563","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"failed","Thu Feb 18 19:05:08 GMT 2021","Thu Feb 18 19:05:40 GMT 2021","32673","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
